L4 | Wed Mar 28 02:54:35 2018 (501 ms) | general | New game starting up
L4 | Wed Mar 28 02:54:35 2018 (501 ms) | general | Target game image size:  1280x720

L4 | Wed Mar 28 02:54:35 2018 (501 ms) | general | Screen dimensions for fullscreen mode:  1280x720

L4 | Wed Mar 28 02:54:35 2018 (502 ms) | general | The following frame rates are considered possible:
L4 | Wed Mar 28 02:54:35 2018 (502 ms) | general | 30 fps
L4 | Wed Mar 28 02:54:35 2018 (502 ms) | general | 60 fps
L4 | Wed Mar 28 02:54:35 2018 (502 ms) | general | 120 fps
L4 | Wed Mar 28 02:54:35 2018 (502 ms) | general | 144 fps
L4 | Wed Mar 28 02:54:35 2018 (506 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Wed Mar 28 02:54:35 2018 (506 ms) | general | Sticking with user's current screen resolution
L4 | Wed Mar 28 02:54:35 2018 (507 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Wed Mar 28 02:54:35 2018 (507 ms) | general | Available video modes:
L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    1920 x 1080

L4 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    ^^^^ this mode matches requested mode
L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    1680 x 1050

L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    1600 x 900

L4 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    1440 x 900

L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    1400 x 1050

L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    1366 x 768

L4 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    1360 x 768

L4 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    1280 x 1024

L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    1280 x 960

L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    1280 x 800

L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    1280 x 768

L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    1280 x 720

L4 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    1280 x 600

L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    1152 x 864

L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    1024 x 768

L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    800 x 600

L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    640 x 480

L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    640 x 400

L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    512 x 384

L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    400 x 300

L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    320 x 240

L5 | Wed Mar 28 02:54:35 2018 (507 ms) | general |    320 x 200

L4 | Wed Mar 28 02:54:35 2018 (736 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=1024 (requested 1024)

