L4 | Sun Apr 29 17:23:47 2018 (173 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Sun Apr 29 17:23:47 2018 (173 ms) | general | Sticking with user's current screen resolution
L4 | Sun Apr 29 17:23:47 2018 (173 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Sun Apr 29 17:23:47 2018 (173 ms) | general | Available video modes:
L5 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    1920 x 1080

L4 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    ^^^^ this mode matches requested mode
L5 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    1680 x 1050

L5 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    1600 x 900

L4 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    1440 x 900

L5 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    1400 x 1050

L5 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    1366 x 768

L4 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    1360 x 768

L4 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    1280 x 1024

L5 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    1280 x 960

L5 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    1280 x 800

L5 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    1280 x 768

L5 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    1280 x 720

L4 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    1280 x 600

L5 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    1152 x 864

L5 | Sun Apr 29 17:23:47 2018 (173 ms) | general |    1024 x 768

L5 | Sun Apr 29 17:23:47 2018 (174 ms) | general |    800 x 600

L5 | Sun Apr 29 17:23:47 2018 (174 ms) | general |    640 x 480

L5 | Sun Apr 29 17:23:47 2018 (174 ms) | general |    640 x 400

L5 | Sun Apr 29 17:23:47 2018 (174 ms) | general |    512 x 384

L5 | Sun Apr 29 17:23:47 2018 (174 ms) | general |    400 x 300

L5 | Sun Apr 29 17:23:47 2018 (174 ms) | general |    320 x 240

L5 | Sun Apr 29 17:23:47 2018 (174 ms) | general |    320 x 200

L4 | Sun Apr 29 17:26:09 2018 (492 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Sun Apr 29 17:26:09 2018 (492 ms) | general | All resolutions available
L4 | Sun Apr 29 17:39:19 2018 (929 ms) | general | exiting...

L4 | Sun Apr 29 17:39:19 2018 (929 ms) | general | exiting: Deleting sceneHandler

L4 | Sun Apr 29 17:39:19 2018 (929 ms) | general | exiting: calling SDL_CloseAudio

L4 | Sun Apr 29 17:39:19 2018 (984 ms) | general | Freeing sound sprites

L4 | Sun Apr 29 17:39:19 2018 (985 ms) | general | exiting: freeing frameDrawer

L4 | Sun Apr 29 17:39:20 2018 (77 ms) | general | exiting: Deleting screen

L4 | Sun Apr 29 17:39:20 2018 (82 ms) | general | exiting: freeing drawString

L4 | Sun Apr 29 17:39:20 2018 (84 ms) | general | exiting: calling SDL_Quit()

L4 | Sun Apr 29 17:39:20 2018 (267 ms) | general | exiting: Done.

